,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,error_message,search_index
2117,8544,tt1182350,movie,You Will Meet a Tall Dark Stranger,You Will Meet a Tall Dark Stranger,0,2010,\N,98,"Comedy,Drama,Romance",you will meet a tall dark stranger,2010-09-22,You Will Meet a Tall Dark Stranger,15000000.0,3247816.0,34247816.0,Sony Pictures Classics,R,Drama,1,6.3,47221.0,,13.98076923076923
2118,15737,tt1853739,movie,You're Next,You're Next,0,2011,\N,95,"Drama,Horror,Thriller",youre next,2013-08-23,You're Next,1000000.0,18494006.0,26887177.0,Lionsgate,R,Horror,1,6.6,107492.0,,5.288461538461538
2119,3040,tt0463034,movie,"You, Me and Dupree","You, Me and Dupree",0,2006,\N,110,"Comedy,Romance",you me and dupree,2006-07-14,"You, Me and Dupree",54000000.0,75802010.0,130402010.0,Universal,PG-13,Comedy,1,5.6,83485.0,,5.153846153846154
2120,14177,tt1625346,movie,Young Adult,Young Adult,0,2011,\N,94,"Comedy,Drama",young adult,2011-12-09,Young Adult,12000000.0,16311571.0,22750356.0,Paramount Pictures,R,Comedy,1,6.3,86553.0,,39.57692307692308
2121,9378,tt1240982,movie,Your Highness,Your Highness,0,2011,\N,102,"Action,Adventure,Comedy",your highness,2011-04-08,Your Highness,50000000.0,21596445.0,26121638.0,Universal,R,Comedy,1,5.5,103664.0,,7.673076923076923
2122,333,tt0063829,movie,"Yours, Mine and Ours","Yours, Mine and Ours",0,1968,\N,111,"Comedy,Family",yours mine and ours,2005-11-23,"Yours, Mine and Ours",45000000.0,53359917.0,72359917.0,Paramount Pictures,PG,Comedy,1,7.1,9605.0,,7.538461538461538
2123,23129,tt3312830,movie,Youth,Youth,0,2015,\N,124,"Comedy,Drama,Music",youth,2015-12-04,Youth,13000000.0,2703296.0,24002112.0,Fox Searchlight,R,Drama,1,7.3,81940.0,,82.01923076923077
2124,2588,tt0403702,movie,Youth in Revolt,Youth in Revolt,0,2009,\N,90,"Comedy,Drama,Romance",youth in revolt,2010-01-08,Youth in Revolt,18000000.0,15285588.0,19685588.0,Weinstein/Dimension,R,Comedy,1,6.4,75656.0,,5.461538461538462
2125,6094,tt1007028,movie,Zack and Miri Make a Porno,Zack and Miri Make a Porno,0,2008,\N,101,"Comedy,Romance",zack and miri make a porno,2008-10-31,Zack and Miri Make a Porno,24000000.0,31457946.0,36856306.0,Weinstein Co.,R,Comedy,1,6.5,181101.0,,9.865384615384615
2126,10270,tt13057454,videoGame,Zathura,Zathura,0,2005,\N,\N,"Action,Adventure,Family",zathura,2005-11-11,Zathura,65000000.0,28045540.0,58545540.0,Sony Pictures,PG,Adventure,1,6.5,105.0,,6.403846153846154
2127,15318,tt1790885,movie,Zero Dark Thirty,Zero Dark Thirty,0,2012,\N,157,"Drama,History,Thriller",zero dark thirty,2012-12-19,Zero Dark Thirty,52500000.0,95720716.0,134612435.0,Sony Pictures,R,Drama,1,7.4,313949.0,,6.25
2128,8224,tt1156398,movie,Zombieland,Zombieland,0,2009,\N,88,"Action,Comedy,Horror",zombieland,2009-10-02,Zombieland,23600000.0,75590286.0,102236596.0,Sony Pictures,R,Comedy,1,7.6,607913.0,,4.8076923076923075
2129,1140,tt0196229,movie,Zoolander,Zoolander,0,2001,\N,90,Comedy,zoolander,2001-09-28,Zoolander,28000000.0,45172250.0,60780981.0,Paramount Pictures,PG-13,Comedy,1,6.5,286211.0,The request failed: Google returned a response with code 500,
2130,14053,tt1608290,movie,Zoolander 2,Zoolander 2,0,2016,\N,101,"Action,Adventure,Comedy",zoolander ,2016-02-12,Zoolander 2,50000000.0,28848693.0,55348693.0,Paramount Pictures,PG-13,Comedy,1,4.7,74213.0,,6.846153846153846
2131,2412,tt0383060,movie,Zoom,Zoom,0,2006,\N,93,"Action,Adventure,Comedy",zoom,2006-08-11,Zoom,35000000.0,11989328.0,12506188.0,Sony Pictures,PG,Adventure,1,4.4,22372.0,,77.21153846153847
2132,21941,tt2948356,movie,Zootopia,Zootopia,0,2016,\N,108,"Adventure,Animation,Comedy",zootopia,2016-03-04,Zootopia,150000000.0,341268248.0,1019706594.0,Walt Disney,PG,Adventure,1,8.0,530987.0,,5.826923076923077
2133,1745,tt0295701,movie,xXx,xXx,0,2002,\N,124,"Action,Adventure,Thriller",xxx,2002-08-09,xXx,70000000.0,141930000.0,267200000.0,Sony Pictures,PG-13,Action,1,5.8,184765.0,The request failed: Google returned a response with code 500,
2134,10126,tt1293847,movie,xXx: Return of Xander Cage,xXx: Return of Xander Cage,0,2017,\N,107,"Action,Adventure,Thriller",xxx return of xander cage,2017-01-20,xXx: Return of Xander Cage,85000000.0,44898413.0,345044476.0,Paramount Pictures,PG-13,Action,1,5.2,96014.0,,3.5384615384615383
