,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index
257,1830,tt0305669,movie,Bringing Down the House,Bringing Down the House,0,2003,\N,105,Comedy,bringing down the house,2003-03-07,Bringing Down the House,20000000.0,132675402.0,164675402.0,Walt Disney,PG-13,Comedy,1,5.6,38726.0,
258,2471,tt0388795,movie,Brokeback Mountain,Brokeback Mountain,0,2005,\N,134,"Drama,Romance",brokeback mountain,2005-12-09,Brokeback Mountain,13900000.0,83043761.0,177012173.0,Focus Features,R,Drama,1,7.7,374498.0,10.538461538461538
259,19279,tt2381111,movie,Brooklyn,Brooklyn,0,2015,\N,117,"Drama,Romance",brooklyn,2015-11-04,Brooklyn,11000000.0,38322743.0,62076141.0,Fox Searchlight,PG-13,Drama,1,7.5,148045.0,91.0576923076923
260,1642,tt0283503,movie,Brooklyn Rules,Brooklyn Rules,0,2007,\N,99,"Crime,Drama",brooklyn rules,2007-05-11,Brooklyn Rules,8000000.0,458232.0,458232.0,Lionsgate,R,Drama,1,6.3,5901.0,14.596153846153847
261,23036,tt3262990,movie,Brotherly Love,Brotherly Love,0,2015,\N,89,Drama,brotherly love,2015-04-24,Brotherly Love,1900000.0,478595.0,478595.0,Freestyle Releasing,R,Drama,1,6.6,2077.0,17.846153846153847
262,4980,tt0765010,movie,Brothers,Brothers,0,2009,\N,105,"Drama,Thriller,War",brothers,2009-12-04,Brothers,26000000.0,28544157.0,45043870.0,Lionsgate,R,Drama,1,7.1,141102.0,
263,1889,tt0315327,movie,Bruce Almighty,Bruce Almighty,0,2003,\N,101,"Comedy,Fantasy",bruce almighty,2003-05-23,Bruce Almighty,81000000.0,242704995.0,484468608.0,Universal,PG-13,Comedy,1,6.8,424184.0,
264,5578,tt0889583,movie,Brüno,Brüno,0,2009,\N,81,Comedy,brno,2009-07-10,Brüno,42000000.0,60054530.0,138708527.0,Universal,R,Comedy,1,5.9,152523.0,2.980769230769231
265,1628,tt0281686,movie,Bubba Ho-Tep,Bubba Ho-Tep,0,2002,\N,92,"Comedy,Fantasy,Horror",bubba hotep,2003-09-19,Bubba Ho-Tep,1000000.0,1239183.0,1492895.0,Vitagraph Films,R,Comedy,1,6.9,50906.0,
266,2969,tt0454792,movie,Bubble,Bubble,0,2005,\N,73,"Crime,Drama,Mystery",bubble,2006-01-27,Bubble,1600000.0,145382.0,145382.0,Magnolia Pictures,R,Drama,1,6.5,8340.0,76.4423076923077
