,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,profit,log_profit,log_production_budget,same_period_indicator,same_period_profit,same_period_rating,same_period_budget,same_period_movie_id,high_rating_dummy
39,1516,tt0266465,movie,A Man Apart,A Man Apart,0,2003,\N,109,"Action,Crime,Drama",a man apart,2003-04-04,A Man Apart,36000000.0,26500000.0,43797731.0,New Line,R,Action,1,6.0,49001.0,7797731.0,18.93826983581545,17.39902952419816,1,18.84433312193167,6.15,17.12554719789612,"tt0281820,tt0286788",0
40,5307,tt0829459,movie,A Mighty Heart,A Mighty Heart,0,2007,\N,108,"Biography,Drama,History",a mighty heart,2007-06-22,A Mighty Heart,15000000.0,9176787.0,19153568.0,Paramount Vantage,R,Drama,1,6.6,28097.0,4153568.0,18.916312943984376,16.52356082573315,1,19.384921663606804,6.25,18.748143735224836,"tt0413099,tt0337978",0
41,1860,tt0310281,movie,A Mighty Wind,A Mighty Wind,0,2003,\N,91,"Comedy,Music",a mighty wind,2003-04-16,A Mighty Wind,6000000.0,17583468.0,18504539.0,Warner Bros.,PG-13,Comedy,1,7.2,29146.0,12504539.0,18.965934112929933,15.607270193858982,1,19.034845399325537,5.933333333333334,16.230729285472076,"tt0305224,tt0280477,tt0245803,tt0323572,tt0311289,tt0328099",1
42,23356,tt3416532,movie,A Monster Calls,A Monster Calls,0,2016,\N,108,"Adventure,Drama,Family",a monster calls,2017-01-06,A Monster Calls,43000000.0,3740823.0,46414964.0,Focus Features,PG-13,Drama,1,7.4,92076.0,3414964.0,18.91180332126384,17.57671069691365,0,0.0,0.0,0.0,,1
43,21876,tt2937898,movie,A Most Violent Year,A Most Violent Year,0,2014,\N,125,"Action,Crime,Drama",a most violent year,2014-12-31,A Most Violent Year,20000000.0,5749134.0,8398291.0,A24,R,Drama,1,7.0,76247.0,-11601709.0,18.815410379197356,16.811242881518265,0,0.0,0.0,0.0,,0
44,2701,tt0420087,movie,A Prairie Home Companion,A Prairie Home Companion,0,2006,\N,105,"Comedy,Drama,Music",a prairie home companion,2006-06-09,A Prairie Home Companion,10000000.0,20342852.0,26716191.0,Picturehouse,PG-13,Comedy,1,6.7,23398.0,16716191.0,18.99005556863211,16.118095750958318,1,20.128426605659286,7.2,18.064005814299346,tt0317219,0
45,29983,tt6644200,movie,A Quiet Place,A Quiet Place,0,2018,\N,90,"Drama,Horror,Sci-Fi",a quiet place,2018-04-06,A Quiet Place,17000000.0,188024361.0,334524361.0,Paramount Pictures,PG-13,Horror,1,7.5,567376.0,317524361.0,19.984125736478877,16.648723960844016,1,19.26415342336856,6.2,16.860033043306746,tt2531344,1
46,6311,tt1019452,movie,A Serious Man,A Serious Man,0,2009,\N,106,"Comedy,Drama",a serious man,2009-10-02,A Serious Man,7000000.0,9228788.0,30360570.0,Focus Features,R,Comedy,1,7.0,147809.0,23360570.0,19.026965105578295,15.761420849876721,1,19.06025129594619,6.933333333333333,16.74453316073483,"tt1058017,tt1172233,tt1156398",0
47,10396,tt1315981,movie,A Single Man,A Single Man,0,2009,\N,99,"Crime,Drama,Romance",a single man,2009-12-11,A Single Man,7000000.0,9176000.0,28142379.0,Weinstein Co.,R,Drama,1,7.5,116447.0,21142379.0,19.014793909833262,15.761420849876721,1,19.075957538774592,7.033333333333334,17.411606478683925,"tt1263670,tt1057500,tt0380510",1
48,1913,tt0318081,movie,A Sound of Thunder,A Sound of Thunder,0,2005,\N,110,"Action,Adventure,Horror",a sound of thunder,2005-09-02,A Sound of Thunder,80000000.0,1900451.0,6300451.0,Warner Bros.,PG-13,Action,1,4.2,20326.0,-73699549.0,18.273345393583394,18.197537205138154,1,19.21277511871777,7.4,17.05418904934434,tt0387131,0
