,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message,profit,log_profit,log_production_budget,same_period_indicator,same_period_profit,same_period_rating,same_period_budget,same_period_movie_id,avg_search_index
413,347,88,1488.0,3222,tt0489281,movie,Stop-Loss,Stop-Loss,0,2008,\N,112,"Drama,War",stoploss,2008-03-28,Stop-Loss,25000000.0,10915744.0,11229035.0,Paramount Pictures,R,Drama,1,6.4,20752.0,7.019230769230769,,-13770965.0,18.800684690211824,17.034386422832473,1,19.103910423270243,4.6,17.370858648025116,tt0426592,7.346153846153846
414,348,89,1489.0,25947,tt4624424,movie,Storks,Storks,0,2016,\N,87,"Adventure,Animation,Comedy",storks,2016-09-23,Storks,70000000.0,72679278.0,174030321.0,Warner Bros.,PG,Adventure,1,6.8,66134.0,5.673076923076923,,104030321.0,19.391574510575744,18.064005814299346,0,0.0,0.0,0.0,,0.0
415,349,90,1490.0,11562,tt1398426,movie,Straight Outta Compton,Straight Outta Compton,0,2015,\N,147,"Biography,Drama,History",straight outta compton,2015-08-14,Straight Outta Compton,28000000.0,161197785.0,202182981.0,Universal,R,Drama,1,7.8,213794.0,4.019230769230769,,174182981.0,19.62719925122519,17.147715103853763,0,0.0,0.0,0.0,,0.0
416,350,91,1491.0,3223,tt0489282,movie,Strange Wilderness,Strange Wilderness,0,2008,\N,87,"Adventure,Comedy",strange wilderness,2008-02-01,Strange Wilderness,20000000.0,6575282.0,6947084.0,Paramount Vantage,R,Comedy,1,5.2,22546.0,4.826923076923077,,-13052916.0,18.805583113953308,16.811242881518265,1,18.960653871796175,5.2,16.118095750958318,tt0785007,18.73076923076923
417,351,92,1492.0,2703,tt0420223,movie,Stranger Than Fiction,Stranger Than Fiction,0,2006,\N,113,"Comedy,Drama,Fantasy",stranger than fiction,2006-11-10,Stranger Than Fiction,30000000.0,40435190.0,53572822.0,Sony Pictures,PG-13,Comedy,1,7.5,234623.0,6.826923076923077,,23572822.0,19.02812200231838,17.21670797295976,1,18.925319009467557,6.85,15.939758443274606,"tt0401445,tt0433387",11.596153846153847
418,352,93,1493.0,18944,tt2325977,movie,Strangerland,Strangerland,0,2015,\N,112,"Drama,Mystery,Thriller",strangerland,2015-07-10,Strangerland,10000000.0,17472.0,161097.0,Alchemy,R,Drama,1,5.2,9907.0,3.2115384615384617,,-9838903.0,18.82721926241611,16.118095750958318,1,20.945434210529342,6.4,18.119575664681957,tt2293640,14.73076923076923
419,353,94,1494.0,2288,tt0369994,movie,Strangers with Candy,Strangers with Candy,0,2005,\N,97,Comedy,strangers with candy,2006-06-28,Strangers with Candy,2000000.0,2072645.0,2077844.0,ThinkFilm,R,Comedy,1,5.9,8384.0,13.115384615384617,,77844.0,18.891170786130147,14.508658238524095,1,19.45798341046408,6.3,16.702608583325112,"tt0458352,tt4563774,tt0389860",34.44871794871795
420,356,97,1497.0,12119,tt1440292,movie,Submarine,Submarine,0,2010,\N,97,"Comedy,Drama,Romance",submarine,2011-06-03,Submarine,1900000.0,467602.0,4581937.0,Weinstein Co.,R,Comedy,1,7.3,95152.0,61.07692307692308,,2681937.0,18.907307551890295,14.45736497045232,1,19.17596198174494,6.1000000000000005,16.030107464152294,"tt1212022,tt1270798,tt1532503",22.23076923076923
421,357,98,1498.0,5922,tt0978764,movie,Sucker Punch,Sucker Punch,0,2011,\N,110,"Action,Adventure,Fantasy",sucker punch,2011-03-25,Sucker Punch,75000000.0,36392502.0,89758389.0,Warner Bros.,PG-13,Action,1,6.0,249161.0,6.365384615384615,,14758389.0,18.9789149493706,18.132998684833918,0,0.0,0.0,0.0,,0.0
422,358,99,1499.0,22626,tt3077214,movie,Suffragette,Suffragette,0,2015,\N,106,"Drama,History",suffragette,2015-10-23,Suffragette,14000000.0,4702420.0,34044909.0,Focus Features,PG-13,Drama,1,6.9,43997.0,13.153846153846152,,20044909.0,19.008716877734535,16.454567959008102,1,19.16944178753642,5.9,18.197537205138154,tt1618442,4.923076923076923
423,359,100,1500.0,23040,tt3263904,movie,Sully,Sully,0,2016,\N,96,"Biography,Drama",sully,2016-09-09,Sully,60000000.0,125070033.0,238552082.0,Warner Bros.,PG-13,Drama,1,7.4,291345.0,8.01923076923077,,178552082.0,19.64018850258709,17.909855136853043,1,18.919167159991474,6.15,16.249277871653604,"tt4254584,tt0117496",54.28846153846154
424,361,102,1502.0,5468,tt0862846,movie,Sunshine Cleaning,Sunshine Cleaning,0,2008,\N,91,"Comedy,Drama",sunshine cleaning,2009-03-13,Sunshine Cleaning,5000000.0,12062558.0,17329337.0,Overture Films,R,Comedy,1,6.8,73469.0,7.3076923076923075,,12329337.0,18.964917959783428,15.424948670398354,1,19.04659168929269,5.733333333333333,16.619454867661517,"tt0844708,tt1075417,tt1151922",5.397435897435898
425,364,105,1505.0,1542,tt0270846,movie,Superbabies: Baby Geniuses 2,Superbabies: Baby Geniuses 2,0,2004,\N,88,"Comedy,Family,Sci-Fi",superbabies baby geniuses ,2004-08-27,Superbabies: Baby Geniuses 2,20000000.0,9109322.0,9355369.0,Sony Pictures,PG,Adventure,1,1.5,31594.0,9.617647058823527,,-10644631.0,18.8218390577885,16.811242881518265,1,18.866160173300514,6.2,16.951004817371683,tt0241025,36.65714285714286
426,365,106,1506.0,5308,tt0829482,movie,Superbad,Superbad,0,2007,\N,113,Comedy,superbad,2007-08-17,Superbad,17500000.0,121463226.0,169955142.0,Sony Pictures,R,Comedy,1,7.6,616736.0,4.403846153846154,,152455142.0,19.559971474437535,16.677711496036597,1,18.58922256139211,5.4,18.020203192280615,tt0462396,10.903846153846152
427,366,107,1507.0,2583,tt0403016,movie,Supercross,Supercross,0,2005,\N,80,"Action,Drama,Romance",supercross,2005-08-17,Supercross,30000000.0,3102550.0,3252550.0,20th Century Fox,PG-13,Action,1,4.3,4821.0,39.07692307692308,,-26747450.0,18.707756765292267,17.21670797295976,1,18.99997366656159,6.0200000000000005,17.381672970338656,"tt0367652,tt0326905,tt0397101,tt0430105,tt0361089",13.023076923076923
