,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message
109,909.0,2316,tt0373074,movie,Kung Fu Hustle,Kung fu,0,2004,\N,99,"Action,Comedy,Fantasy",kung fu hustle,2005-04-08,Kung Fu Hustle,20000000.0,17104669.0,102034104.0,Sony Pictures Classics,R,Action,1,7.7,147887.0,15.23076923076923,
110,910.0,2884,tt0441773,movie,Kung Fu Panda,Kung Fu Panda,0,2008,\N,92,"Action,Adventure,Animation",kung fu panda,2008-06-06,Kung Fu Panda,130000000.0,215434591.0,631910531.0,Paramount Pictures,PG,Adventure,1,7.6,502441.0,6.346153846153846,
111,911.0,10225,tt1302011,movie,Kung Fu Panda 2,Kung Fu Panda 2,0,2011,\N,90,"Action,Adventure,Animation",kung fu panda ,2011-05-26,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,Paramount Pictures,PG,Adventure,1,7.2,307483.0,8.76923076923077,
112,912.0,1359,tt0240468,movie,Kung Pow: Enter the Fist,Kung Pow: Enter the Fist,0,2002,\N,81,"Action,Comedy",kung pow enter the fist,2002-01-25,Kung Pow: Enter the Fist,10000000.0,16033556.0,17033556.0,20th Century Fox,PG-13,Comedy,1,6.2,47914.0,,The request failed: Google returned a response with code 500
113,913.0,10941,tt13548600,tvMovie,L'illusionniste,L'illusionniste,0,1991,\N,84,Comedy,lillusionniste,2010-12-25,L'illusionniste,17000000.0,2231474.0,8609949.0,Sony Pictures Classics,PG,Adventure,1,,,10.807692307692308,
114,914.0,26246,tt4778988,movie,LBJ,LBJ,0,2016,\N,98,"Biography,Drama,History",lbj,2017-11-03,LBJ,20000000.0,2468683.0,2507181.0,Electric Entertainment,R,Drama,1,6.5,7499.0,26.307692307692307,
115,915.0,13944,tt1592873,movie,LOL,LOL,0,2012,\N,97,"Comedy,Drama,Romance",lol,2012-05-04,LOL,11000000.0,0.0,10431506.0,Lionsgate,PG-13,Comedy,1,4.4,57651.0,47.53846153846154,
116,916.0,27240,tt5275524,tvEpisode,La Môme,La Môme,0,2010,\N,\N,Comedy,la mme,2007-06-08,La Môme,15500000.0,10299782.0,88611837.0,Picturehouse,PG-13,Drama,1,,,11.903846153846152,
117,917.0,16336,tt1967545,movie,Labor Day,Labor Day,0,2013,\N,111,"Drama,Romance,Thriller",labor day,2014-01-31,Labor Day,18000000.0,13371528.0,14189810.0,Paramount Pictures,PG-13,Drama,1,6.9,50563.0,9.461538461538462,
118,918.0,2117,tt0349710,movie,Ladder 49,Ladder 49,0,2004,\N,115,"Action,Drama,Thriller",ladder ,2004-10-01,Ladder 49,60000000.0,74541707.0,102332848.0,Walt Disney,PG-13,Action,1,6.5,58984.0,8.41025641025641,
119,919.0,26502,tt4925292,movie,Lady Bird,Lady Bird,0,2017,\N,94,"Comedy,Drama",lady bird,2017-11-03,Lady Bird,10000000.0,48958273.0,78610769.0,A24,R,Drama,1,7.4,316399.0,33.67307692307692,
